PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Barcelona;Alt Penedès;Castellví de la Marca;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;14;1,45
Barcelona;Alt Penedès;Castellví de la Marca;RCERO;RECORTES CERO-GRUPO VERDE;5;0,52
Barcelona;Alt Penedès;Castellví de la Marca;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;2;0,21
Barcelona;Alt Penedès;Castellví de la Marca;CNV;CONVERGENTS;1;0,10
Barcelona;Alt Penedès;Castellví de la Marca;IZQP;IZQUIERDA EN POSITIVO;1;0,10
Barcelona;Alt Penedès;Castellví de la Marca;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,10
Barcelona;Alt Penedès;Font-rubí;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;313;38,59
Barcelona;Alt Penedès;Font-rubí;JxCAT;JUNTS PER CATALUNYA-JUNTS;243;29,96
Barcelona;Alt Penedès;Font-rubí;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);82;10,11
Barcelona;Alt Penedès;Font-rubí;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;63;7,77
Barcelona;Alt Penedès;Font-rubí;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;39;4,81
Barcelona;Alt Penedès;Font-rubí;PP;PARTIDO POPULAR/PARTIT POPULAR;25;3,08
Barcelona;Alt Penedès;Font-rubí;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;24;2,96
Barcelona;Alt Penedès;Font-rubí;VOX;VOX;12;1,48
Barcelona;Alt Penedès;Font-rubí;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;6;0,74
Barcelona;Alt Penedès;Font-rubí;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1;0,12
Barcelona;Alt Penedès;Font-rubí;RCERO;RECORTES CERO-GRUPO VERDE;1;0,12
Barcelona;Alt Penedès;Font-rubí;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Font-rubí;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Font-rubí;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;Gelida;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1240;28,95
Barcelona;Alt Penedès;Gelida;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);991;23,14
Barcelona;Alt Penedès;Gelida;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;744;17,37
Barcelona;Alt Penedès;Gelida;JxCAT;JUNTS PER CATALUNYA-JUNTS;429;10,02
Barcelona;Alt Penedès;Gelida;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;382;8,92
