PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Girona;Alt Empordà;Darnius;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Darnius;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Darnius;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Darnius;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;L'Escala;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1255;28,96
Girona;Alt Empordà;L'Escala;JxCAT;JUNTS PER CATALUNYA-JUNTS;950;21,92
Girona;Alt Empordà;L'Escala;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);712;16,43
Girona;Alt Empordà;L'Escala;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;418;9,64
Girona;Alt Empordà;L'Escala;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;418;9,64
Girona;Alt Empordà;L'Escala;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;188;4,34
Girona;Alt Empordà;L'Escala;VOX;VOX;142;3,28
Girona;Alt Empordà;L'Escala;PP;PARTIDO POPULAR/PARTIT POPULAR;138;3,18
Girona;Alt Empordà;L'Escala;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;73;1,68
Girona;Alt Empordà;L'Escala;IZQP;IZQUIERDA EN POSITIVO;5;0,12
Girona;Alt Empordà;L'Escala;CNV;CONVERGENTS;3;0,07
Girona;Alt Empordà;L'Escala;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;3;0,07
Girona;Alt Empordà;L'Escala;RCERO;RECORTES CERO-GRUPO VERDE;3;0,07
Girona;Alt Empordà;L'Escala;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Espolla;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;94;36,02
Girona;Alt Empordà;Espolla;JxCAT;JUNTS PER CATALUNYA-JUNTS;62;23,75
Girona;Alt Empordà;Espolla;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);41;15,71
Girona;Alt Empordà;Espolla;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;17;6,51
Girona;Alt Empordà;Espolla;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;16;6,13
Girona;Alt Empordà;Espolla;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;14;5,36
Girona;Alt Empordà;Espolla;PP;PARTIDO POPULAR/PARTIT POPULAR;6;2,30
Girona;Alt Empordà;Espolla;VOX;VOX;3;1,15
Girona;Alt Empordà;Espolla;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;2;0,77
Girona;Alt Empordà;Espolla;RCERO;RECORTES CERO-GRUPO VERDE;2;0,77
Girona;Alt Empordà;Espolla;IZQP;IZQUIERDA EN POSITIVO;1;0,38
Girona;Alt Empordà;Espolla;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;1;0,38
Girona;Alt Empordà;Espolla;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;El Far d'Empordà;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;125;37,76
Girona;Alt Empordà;El Far d'Empordà;JxCAT;JUNTS PER CATALUNYA-JUNTS;70;21,15
Girona;Alt Empordà;El Far d'Empordà;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);55;16,62
Girona;Alt Empordà;El Far d'Empordà;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;23;6,95
Girona;Alt Empordà;El Far d'Empordà;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;21;6,34
Girona;Alt Empordà;El Far d'Empordà;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;20;6,04
Girona;Alt Empordà;El Far d'Empordà;PP;PARTIDO POPULAR/PARTIT POPULAR;8;2,42
Girona;Alt Empordà;El Far d'Empordà;VOX;VOX;7;2,11
Girona;Alt Empordà;El Far d'Empordà;CNV;CONVERGENTS;1;0,30
Girona;Alt Empordà;El Far d'Empordà;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;1;0,30
Girona;Alt Empordà;El Far d'Empordà;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;El Far d'Empordà;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;El Far d'Empordà;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;El Far d'Empordà;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Figueres;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;4763;26,08
Girona;Alt Empordà;Figueres;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);3731;20,43
Girona;Alt Empordà;Figueres;JxCAT;JUNTS PER CATALUNYA-JUNTS;2665;14,59
Girona;Alt Empordà;Figueres;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;2396;13,12
Girona;Alt Empordà;Figueres;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;1800;9,85
Girona;Alt Empordà;Figueres;PP;PARTIDO POPULAR/PARTIT POPULAR;1027;5,62
Girona;Alt Empordà;Figueres;VOX;VOX;928;5,08
Girona;Alt Empordà;Figueres;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;495;2,71
Girona;Alt Empordà;Figueres;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;299;1,64
Girona;Alt Empordà;Figueres;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;24;0,13
Girona;Alt Empordà;Figueres;IZQP;IZQUIERDA EN POSITIVO;14;0,08
Girona;Alt Empordà;Figueres;CNV;CONVERGENTS;13;0,07
Girona;Alt Empordà;Figueres;RCERO;RECORTES CERO-GRUPO VERDE;13;0,07
Girona;Alt Empordà;Figueres;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Fortià;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;166;38,97
Girona;Alt Empordà;Fortià;JxCAT;JUNTS PER CATALUNYA-JUNTS;71;16,67
Girona;Alt Empordà;Fortià;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);57;13,38
Girona;Alt Empordà;Fortià;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;43;10,09
Girona;Alt Empordà;Fortià;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;36;8,45
Girona;Alt Empordà;Fortià;PP;PARTIDO POPULAR/PARTIT POPULAR;19;4,46
Girona;Alt Empordà;Fortià;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;16;3,76
Girona;Alt Empordà;Fortià;VOX;VOX;11;2,58
Girona;Alt Empordà;Fortià;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;5;1,17
Girona;Alt Empordà;Fortià;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Fortià;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Fortià;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Fortià;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Garrigàs;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;130;46,26
Girona;Alt Empordà;Garrigàs;JxCAT;JUNTS PER CATALUNYA-JUNTS;50;17,79
Girona;Alt Empordà;Garrigàs;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;26;9,25
Girona;Alt Empordà;Garrigàs;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;19;6,76
Girona;Alt Empordà;Garrigàs;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);17;6,05
Girona;Alt Empordà;Garrigàs;PP;PARTIDO POPULAR/PARTIT POPULAR;12;4,27
Girona;Alt Empordà;Garrigàs;VOX;VOX;10;3,56
Girona;Alt Empordà;Garrigàs;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;8;2,85
Girona;Alt Empordà;Garrigàs;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;4;1,42
Girona;Alt Empordà;Garrigàs;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Garrigàs;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Garrigàs;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Garrigàs;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Garrigàs;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Garriguella;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;148;34,10
Girona;Alt Empordà;Garriguella;JxCAT;JUNTS PER CATALUNYA-JUNTS;111;25,58
Girona;Alt Empordà;Garriguella;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);59;13,59
Girona;Alt Empordà;Garriguella;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;41;9,45
Girona;Alt Empordà;Garriguella;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;31;7,14
Girona;Alt Empordà;Garriguella;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;16;3,69
Girona;Alt Empordà;Garriguella;PP;PARTIDO POPULAR/PARTIT POPULAR;10;2,30
Girona;Alt Empordà;Garriguella;VOX;VOX;10;2,30
Girona;Alt Empordà;Garriguella;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;6;1,38
Girona;Alt Empordà;Garriguella;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Garriguella;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Garriguella;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Garriguella;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;La Jonquera;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;300;24,79
Girona;Alt Empordà;La Jonquera;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);288;23,80
Girona;Alt Empordà;La Jonquera;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;183;15,12
Girona;Alt Empordà;La Jonquera;JxCAT;JUNTS PER CATALUNYA-JUNTS;131;10,83
Girona;Alt Empordà;La Jonquera;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;117;9,67
Girona;Alt Empordà;La Jonquera;PP;PARTIDO POPULAR/PARTIT POPULAR;85;7,02
Girona;Alt Empordà;La Jonquera;VOX;VOX;51;4,21
Girona;Alt Empordà;La Jonquera;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;27;2,23
Girona;Alt Empordà;La Jonquera;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;17;1,40
Girona;Alt Empordà;La Jonquera;IZQP;IZQUIERDA EN POSITIVO;2;0,17
Girona;Alt Empordà;La Jonquera;CNV;CONVERGENTS;1;0,08
Girona;Alt Empordà;La Jonquera;RCERO;RECORTES CERO-GRUPO VERDE;1;0,08
Girona;Alt Empordà;La Jonquera;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;La Jonquera;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Lladó;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;217;46,37
Girona;Alt Empordà;Lladó;JxCAT;JUNTS PER CATALUNYA-JUNTS;108;23,08
Girona;Alt Empordà;Lladó;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;44;9,40
Girona;Alt Empordà;Lladó;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);35;7,48
Girona;Alt Empordà;Lladó;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;27;5,77
Girona;Alt Empordà;Lladó;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;20;4,27
Girona;Alt Empordà;Lladó;PP;PARTIDO POPULAR/PARTIT POPULAR;8;1,71
Girona;Alt Empordà;Lladó;VOX;VOX;4;0,85
Girona;Alt Empordà;Lladó;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;3;0,64
Girona;Alt Empordà;Lladó;RCERO;RECORTES CERO-GRUPO VERDE;1;0,21
Girona;Alt Empordà;Lladó;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Lladó;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Lladó;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Lladó;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Llançà;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;900;34,18
Girona;Alt Empordà;Llançà;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);531;20,17
Girona;Alt Empordà;Llançà;JxCAT;JUNTS PER CATALUNYA-JUNTS;441;16,75
Girona;Alt Empordà;Llançà;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;262;9,95
Girona;Alt Empordà;Llançà;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;212;8,05
Girona;Alt Empordà;Llançà;PP;PARTIDO POPULAR/PARTIT POPULAR;84;3,19
Girona;Alt Empordà;Llançà;VOX;VOX;71;2,70
Girona;Alt Empordà;Llançà;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;60;2,28
Girona;Alt Empordà;Llançà;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;42;1,60
Girona;Alt Empordà;Llançà;CNV;CONVERGENTS;5;0,19
Girona;Alt Empordà;Llançà;RCERO;RECORTES CERO-GRUPO VERDE;4;0,15
Girona;Alt Empordà;Llançà;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;3;0,11
Girona;Alt Empordà;Llançà;IZQP;IZQUIERDA EN POSITIVO;1;0,04
Girona;Alt Empordà;Llançà;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Llers;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;310;43,36
Girona;Alt Empordà;Llers;JxCAT;JUNTS PER CATALUNYA-JUNTS;145;20,28
Girona;Alt Empordà;Llers;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;66;9,23
Girona;Alt Empordà;Llers;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);60;8,39
Girona;Alt Empordà;Llers;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;59;8,25
Girona;Alt Empordà;Llers;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;26;3,64
Girona;Alt Empordà;Llers;PP;PARTIDO POPULAR/PARTIT POPULAR;20;2,80
Girona;Alt Empordà;Llers;VOX;VOX;18;2,52
Girona;Alt Empordà;Llers;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;6;0,84
Girona;Alt Empordà;Llers;IZQP;IZQUIERDA EN POSITIVO;3;0,42
Girona;Alt Empordà;Llers;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Llers;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Llers;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Llers;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Maçanet de Cabrenys;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;205;47,13
Girona;Alt Empordà;Maçanet de Cabrenys;JxCAT;JUNTS PER CATALUNYA-JUNTS;107;24,60
Girona;Alt Empordà;Maçanet de Cabrenys;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);46;10,57
Girona;Alt Empordà;Maçanet de Cabrenys;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;21;4,83
Girona;Alt Empordà;Maçanet de Cabrenys;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;19;4,37
Girona;Alt Empordà;Maçanet de Cabrenys;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;15;3,45
Girona;Alt Empordà;Maçanet de Cabrenys;PP;PARTIDO POPULAR/PARTIT POPULAR;12;2,76
Girona;Alt Empordà;Maçanet de Cabrenys;VOX;VOX;5;1,15
Girona;Alt Empordà;Maçanet de Cabrenys;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;2;0,46
Girona;Alt Empordà;Maçanet de Cabrenys;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Maçanet de Cabrenys;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Maçanet de Cabrenys;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Maçanet de Cabrenys;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Maçanet de Cabrenys;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Masarac;JxCAT;JUNTS PER CATALUNYA-JUNTS;70;45,45
Girona;Alt Empordà;Masarac;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;46;29,87
Girona;Alt Empordà;Masarac;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);15;9,74
Girona;Alt Empordà;Masarac;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;8;5,19
Girona;Alt Empordà;Masarac;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;6;3,90
Girona;Alt Empordà;Masarac;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;4;2,60
Girona;Alt Empordà;Masarac;VOX;VOX;2;1,30
Girona;Alt Empordà;Masarac;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;1;0,65
Girona;Alt Empordà;Masarac;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,65
Girona;Alt Empordà;Masarac;PP;PARTIDO POPULAR/PARTIT POPULAR;1;0,65
Girona;Alt Empordà;Masarac;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Masarac;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Masarac;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Mollet de Peralada;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;49;39,84
Girona;Alt Empordà;Mollet de Peralada;JxCAT;JUNTS PER CATALUNYA-JUNTS;36;29,27
Girona;Alt Empordà;Mollet de Peralada;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);14;11,38
Girona;Alt Empordà;Mollet de Peralada;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;9;7,32
Girona;Alt Empordà;Mollet de Peralada;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;5;4,07
Girona;Alt Empordà;Mollet de Peralada;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;4;3,25
Girona;Alt Empordà;Mollet de Peralada;PP;PARTIDO POPULAR/PARTIT POPULAR;4;3,25
Girona;Alt Empordà;Mollet de Peralada;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;2;1,63
Girona;Alt Empordà;Mollet de Peralada;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Mollet de Peralada;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Mollet de Peralada;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Mollet de Peralada;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Mollet de Peralada;VOX;VOX;-;-
Girona;Alt Empordà;Mollet de Peralada;PxC;PLATAFORMA PER CATALUNYA;-;-
Girona;Alt Empordà;Navata;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;274;35,54
Girona;Alt Empordà;Navata;JxCAT;JUNTS PER CATALUNYA-JUNTS;218;28,27
Girona;Alt Empordà;Navata;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);71;9,21
Girona;Alt Empordà;Navata;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;67;8,69
Girona;Alt Empordà;Navata;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;54;7,00
Girona;Alt Empordà;Navata;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;44;5,71
Girona;Alt Empordà;Navata;VOX;VOX;16;2,08
Girona;Alt Empordà;Navata;PP;PARTIDO POPULAR/PARTIT POPULAR;14;1,82
Girona;Alt Empordà;Navata;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;9;1,17
Girona;Alt Empordà;Navata;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,13
Girona;Alt Empordà;Navata;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Navata;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Navata;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Ordis;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;94;42,34
Girona;Alt Empordà;Ordis;JxCAT;JUNTS PER CATALUNYA-JUNTS;53;23,87
Girona;Alt Empordà;Ordis;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);19;8,56
Girona;Alt Empordà;Ordis;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;16;7,21
Girona;Alt Empordà;Ordis;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;14;6,31
Girona;Alt Empordà;Ordis;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;14;6,31
Girona;Alt Empordà;Ordis;PP;PARTIDO POPULAR/PARTIT POPULAR;5;2,25
Girona;Alt Empordà;Ordis;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;2;0,90
Girona;Alt Empordà;Ordis;VOX;VOX;2;0,90
Girona;Alt Empordà;Ordis;CNV;CONVERGENTS;1;0,45
Girona;Alt Empordà;Ordis;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Ordis;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Ordis;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Palau de Santa Eulàlia;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;19;32,76
Girona;Alt Empordà;Palau de Santa Eulàlia;JxCAT;JUNTS PER CATALUNYA-JUNTS;10;17,24
Girona;Alt Empordà;Palau de Santa Eulàlia;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);9;15,52
Girona;Alt Empordà;Palau de Santa Eulàlia;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;8;13,79
Girona;Alt Empordà;Palau de Santa Eulàlia;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;6;10,34
Girona;Alt Empordà;Palau de Santa Eulàlia;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;2;3,45
Girona;Alt Empordà;Palau de Santa Eulàlia;PP;PARTIDO POPULAR/PARTIT POPULAR;1;1,72
Girona;Alt Empordà;Palau de Santa Eulàlia;VOX;VOX;1;1,72
Girona;Alt Empordà;Palau de Santa Eulàlia;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Palau de Santa Eulàlia;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Palau de Santa Eulàlia;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;-;-
Girona;Alt Empordà;Palau de Santa Eulàlia;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Palau de Santa Eulàlia;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Palau-saverdera;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;202;33,78
Girona;Alt Empordà;Palau-saverdera;JxCAT;JUNTS PER CATALUNYA-JUNTS;149;24,92
Girona;Alt Empordà;Palau-saverdera;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);67;11,20
Girona;Alt Empordà;Palau-saverdera;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;59;9,87
Girona;Alt Empordà;Palau-saverdera;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;47;7,86
Girona;Alt Empordà;Palau-saverdera;PP;PARTIDO POPULAR/PARTIT POPULAR;25;4,18
Girona;Alt Empordà;Palau-saverdera;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;16;2,68
Girona;Alt Empordà;Palau-saverdera;VOX;VOX;16;2,68
Girona;Alt Empordà;Palau-saverdera;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;14;2,34
Girona;Alt Empordà;Palau-saverdera;CNV;CONVERGENTS;-;-
Girona;Alt Empordà;Palau-saverdera;IZQP;IZQUIERDA EN POSITIVO;-;-
Girona;Alt Empordà;Palau-saverdera;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Girona;Alt Empordà;Palau-saverdera;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Girona;Alt Empordà;Pau;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;98;38,89
Girona;Alt Empordà;Pau;JxCAT;JUNTS PER CATALUNYA-JUNTS;58;23,02
Girona;Alt Empordà;Pau;Cs;CIUTADANS-PARTIDO DE LA CIUDADANÍA;26;10,32
Girona;Alt Empordà;Pau;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);26;10,32
Girona;Alt Empordà;Pau;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;18;7,14
Girona;Alt Empordà;Pau;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;15;5,95
Girona;Alt Empordà;Pau;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;5;1,98
Girona;Alt Empordà;Pau;PP;PARTIDO POPULAR/PARTIT POPULAR;3;1,19
Girona;Alt Empordà;Pau;VOX;VOX;2;0,79
Girona;Alt Empordà;Pau;CNV;CONVERGENTS;-;-
